Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
64.94074754649972,68.44924426166847,1.7375141985108329,1.4357488077234806
28.67301065763745,30.515642109604848,1.5863670905960792,-3.954626985149616
15.859892186035657,17.394290981431805,1.2527536761636464,-0.7552218167725893
11.644152981931558,10.018569136689212,0.5012492848186464,-1.7283022858444117
9.31534247347228,10.318431826215477,2.1503688012318483,1.0269038529878582
8.301389157490169,11.54512821585487,0.2777602744655124,-1.4807685374925743
6.508427731076252,12.51766709391194,0.5107820741982252,3.6013655273367764
4.172059197293729,9.204085406769895,0.8539310564098865,3.7027800729924136
6.842056496732478,11.751454155971896,3.555404497087366,10.19440685721854
7.624564980767404,11.370429119406571,12.351461760462865,22.50047098201876
9.156097649774416,9.721065636276284,26.085856286513387,39.8649419784642
5.525712109797853,13.02682199080672,44.36043118978469,62.20853711968026
4.145139325521951,13.051677465233134,65.48053885916389,75.12554011314887
6.376516360961149,12.352298095339274,79.1781465694067,81.7342765029374
6.761811115669873,12.278518214174522,87.38120222605968,82.86547560700852
9.228419049581005,12.283554214680516,85.22026647072211,90.29756006535176
7.9656412240902625,10.44303331262414,87.12271304118465,85.24115590130842
10.65639035385751,15.719781302215749,86.9896493041943,79.45269350550412
7.818307546195357,15.048820802846638,87.54862403489213,85.89126779193185
7.845992413942455,13.97269278326739,88.52891554245836,83.98604343816007
8.060752494883962,12.577709982897126,89.91054339517254,85.6417365799755
8.27257135148484,11.874197567117296,89.7999175989953,84.68805886116876
3.689626921214495,13.406014986798189,89.9842925997191,85.9447381209394
6.420195162751186,11.012741692186015,82.76234517530796,88.85767811248752
7.516754145314344,10.350563189826545,86.88195273179737,85.82803184273227
11.560523521796284,11.520895690607931,91.33198108353356,85.21977814552281
8.349050706015943,11.470179630116712,93.53443894466484,86.38904446054188
9.96764944053173,7.77142512876458,91.01291786802324,87.89359948318263
10.837197254631436,9.72291202082689,91.48178610533066,86.4212800292833
8.15356372440054,8.828369126634293,89.2697871605662,85.16256554039157
1.9022047138392104,13.015359318928386,86.65064487569657,83.9088419014273
8.59076317856317,9.743815621348448,85.39461519281765,84.43752688978606
5.06116356121308,10.58626109681101,87.08180966314279,85.1084850524575
4.909579028567,9.81535881671828,87.51950152706182,83.32158088650863
8.922505162815598,10.691836109047962,87.20187721504622,85.00354709411201
9.794479649604714,11.338734872564109,84.92606245216015,86.43723641576264
9.993651163042626,10.835461773223315,91.65937323868592,83.28022332631926
12.932129334439578,8.56108023276599,87.43460135778419,84.29415811415383
7.564128963867454,11.354204683309431,86.46697731509587,81.02252670166133
7.301384495913183,11.771958849918152,83.27709784295052,85.63992770263002
